Date,Time,Open,High,Low,Close,Volume
2023-01-03,11:20,10909.75,10913.0,10896.5,10896.75,1183
2023-01-03,11:21,10897.5,10908.0,10897.0,10905.0,921
2023-01-03,11:22,10905.25,10914.5,10902.75,10910.75,1188
2023-01-03,11:23,10911.25,10927.75,10909.75,10919.0,2238
2023-01-03,11:24,10918.75,10919.25,10911.75,10914.25,1164
2023-01-03,11:25,10914.5,10918.0,10906.75,10907.5,958
2023-01-03,11:26,10907.0,10913.0,10903.5,10907.75,773
2023-01-03,11:27,10908.25,10910.25,10904.0,10907.0,705
2023-01-03,11:28,10907.5,10914.25,10897.0,10897.75,1110
2023-01-03,11:29,10897.5,10915.5,10893.0,10914.25,1554
2023-01-03,11:30,10913.75,10915.0,10894.75,10898.25,1426
2023-01-03,11:31,10899.0,10906.25,10880.0,10882.25,2948
2023-01-03,11:32,10882.25,10893.25,10870.0,10885.75,2874
2023-01-03,11:33,10885.5,10895.25,10885.0,10888.5,1018
2023-01-03,11:34,10888.5,10891.5,10883.0,10886.75,702
2023-01-03,11:35,10886.5,10893.5,10881.0,10881.75,877
2023-01-03,11:36,10881.25,10892.0,10880.75,10886.5,750
2023-01-03,11:37,10886.25,10892.75,10886.0,10891.25,679
2023-01-03,11:38,10891.0,10897.25,10887.5,10893.25,833
2023-01-03,11:39,10893.5,10900.75,10891.0,10895.75,784
2023-01-03,11:40,10895.5,10897.75,10889.5,10893.25,710
2023-01-03,11:41,10892.75,10900.0,10888.5,10890.0,888
2023-01-03,11:42,10890.0,10892.75,10880.75,10882.25,922
2023-01-03,11:43,10882.5,10887.75,10882.0,10883.5,530
2023-01-03,11:44,10883.0,10886.25,10876.5,10877.0,598
2023-01-03,11:45,10877.25,10881.75,10870.75,10877.5,1168
2023-01-03,11:46,10877.5,10881.25,10863.0,10864.75,1370
2023-01-03,11:47,10865.0,10876.25,10862.75,10872.75,985
2023-01-03,11:48,10873.25,10877.75,10871.0,10872.75,587
2023-01-03,11:49,10872.25,10881.25,10872.25,10878.5,706
2023-01-03,11:50,10878.75,10879.75,10872.75,10874.75,720
2023-01-03,11:51,10874.75,10875.75,10865.25,10867.0,748
2023-01-03,11:52,10867.5,10881.25,10861.0,10881.25,1410
2023-01-03,11:53,10880.5,10884.0,10873.75,10875.25,979
2023-01-03,11:54,10875.5,10877.5,10866.25,10868.75,687
2023-01-03,11:55,10869.25,10871.0,10859.75,10867.75,1016
2023-01-03,11:56,10867.75,10871.0,10858.5,10863.75,796
2023-01-03,11:57,10864.0,10873.0,10863.25,10870.0,866
2023-01-03,11:58,10870.25,10880.0,10870.0,10873.5,783
2023-01-03,11:59,10873.5,10878.0,10870.25,10872.75,581
2023-01-03,12:00,10873.75,10879.5,10870.75,10875.0,952
2023-01-03,12:01,10874.25,10877.0,10868.5,10870.75,732
2023-01-03,12:02,10871.0,10874.0,10867.25,10869.5,475
2023-01-03,12:03,10869.0,10876.75,10869.0,10875.0,511
2023-01-03,12:04,10874.5,10879.0,10869.0,10870.0,688
2023-01-03,12:05,10870.25,10878.25,10866.25,10876.5,723
2023-01-03,12:06,10876.5,10883.5,10874.5,10882.75,643
2023-01-03,12:07,10882.75,10896.0,10882.75,10896.0,1530
2023-01-03,12:08,10895.25,10895.25,10883.75,10890.0,914
2023-01-03,12:09,10889.75,10895.75,10886.25,10888.0,609
2023-01-03,12:10,10887.5,10889.25,10882.5,10883.5,426
2023-01-03,12:11,10883.75,10887.5,10881.0,10886.0,433
